model_id,overall_accuracy,overall_f1_score,overall_auc,real_accuracy,gan_accuracy,diffusion_accuracy
dct_resnet18,0.4666666666666667,0.4146341463414634,0.6177777777777778,0.8333333333333334,0.13333333333333333,0.43333333333333335
dwt_resnet18,0.7444444444444445,0.8034188034188035,0.8472222222222222,0.6666666666666666,0.8333333333333334,0.7333333333333333
dwt_rgb_resnet18,0.7555555555555555,0.8103448275862069,0.7583333333333333,0.7,0.8,0.7666666666666667
fft_magnitude_phase_resnet18,0.32222222222222224,0.06153846153846154,0.37111111111111106,0.9,0.03333333333333333,0.03333333333333333
rgb_resnet18,0.5555555555555556,0.5348837209302325,0.6866666666666666,0.9,0.4666666666666667,0.3
