label,step,test_acc,test_auc,test_f1,test_loss,test_prec,test_rec
rgb,0,0.777287483215332,0.8636839985847473,0.813442051410675,0.954075813293457,0.8862103819847107,0.7517172694206238
phase,0,0.7070058584213257,0.757841944694519,0.7678452134132385,0.6142733693122864,0.7863881587982178,0.7501565217971802
magnitude,0,0.7009754776954651,0.7328523397445679,0.7715704441070557,0.6850895285606384,0.7615514993667603,0.7818565964698792
fft,0,0.6702864766120911,0.7311519384384155,0.7295467853546143,0.70676189661026,0.7758166790008545,0.6884853839874268
dwt_rgb,0,0.7932778596878052,0.8698189854621887,0.832853376865387,0.8223711848258972,0.8716529011726379,0.7973608374595642
dwt,0,0.7684864401817322,0.8489519357681274,0.8071657419204712,1.005679726600647,0.8735525608062744,0.7501565217971802
dct,0,0.712378203868866,0.7516553401947021,0.7765417695045471,0.7042999267578125,0.7793781161308289,0.7737259864807129
